Sample,Cont_T,Type_L,C*T,Cont_1,Type_3,PSU1,PSU2,PSU3,PSU4,PSE1,PSE2,PSE3,PSE4,RRB1,RRB2,RRB3,RRB4,Gene_Code,Age_Code,Education_Code,Duration_Code,Gen_C,Age_C,Edu_C,Dura_C,Mean_PSU,Mean_PSE,Mean_RRB
1,0,0,0,2,2,7,7,5,6,5,4,7,6,6,6,6,7,Female,25–30,Bachelor's degree,1–2 hours,2,2,3,3,6.25,5.5,6.25
2,0,0,0,2,2,5,6,6,6,6,5,6,6,5,5,5,4,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,5.75,5.75,4.75
3,0,0,0,2,4,3,3,5,4,3,2,6,4,5,5,6,7,Female,25–30,Bachelor's degree,1–2 hours,2,2,3,3,3.75,3.75,5.75
4,1,1,1,6,1,7,6,7,7,7,6,7,7,5,6,6,7,Female,25–30,Bachelor's degree,1–2 hours,2,2,3,3,6.75,6.75,6
5,0,1,0,1,6,6,5,7,4,5,7,7,6,7,4,6,7,Male,over 30,Bachelor's degree,1–2 hours,1,3,3,3,5.5,6.25,6
6,0,0,0,2,1,7,5,6,6,2,1,5,5,3,2,4,1,Female,over 30,High school or below,Under 30 mins,2,3,1,1,6,3.25,2.5
7,1,1,1,7,5,4,2,3,3,3,4,7,7,6,7,7,6,Male,over 30,Associate degree,1–2 hours,1,3,2,3,3,5.25,6.5
8,1,0,0,6,6,4,3,3,3,5,5,5,5,6,6,6,6,Female,over 30,High school or below,1–2 hours,2,3,1,3,3.25,5,6
9,0,0,0,2,1,6,7,7,6,7,6,6,6,6,7,2,7,Male,over 30,Bachelor's degree,over 2 hours,1,3,3,4,6.5,6.25,5.5
10,0,0,0,1,1,7,6,7,7,2,4,7,6,7,6,6,7,Female,over 30,Master's degree or above ,over 2 hours,2,3,4,4,6.75,4.75,6.5
11,0,0,0,2,3,4,3,2,3,6,5,5,6,5,6,5,6,Female,over 30,Master's degree or above ,over 2 hours,2,3,4,4,3,5.5,5.5
12,0,1,0,2,6,2,1,1,1,7,6,7,7,7,7,6,7,Female,over 30,Bachelor's degree,1–2 hours,2,3,3,3,1.25,6.75,6.75
13,0,0,0,1,3,7,5,6,7,4,3,5,6,6,7,4,6,Female,over 30,Associate degree,over 2 hours,2,3,2,4,6.25,4.5,5.75
14,0,0,0,1,3,4,3,2,3,1,2,3,2,6,5,5,7,Male,25–30,Bachelor's degree,1–2 hours,1,2,3,3,3,2,5.75
15,1,1,1,6,7,2,3,2,1,5,6,6,6,6,7,7,6,Male,over 30,Bachelor's degree,1–2 hours,1,3,3,3,2,5.75,6.5
16,0,1,0,2,5,5,6,5,5,6,6,6,7,5,5,6,6,Female,25–30,Master's degree or above ,1–2 hours,2,2,4,3,5.25,6.25,5.5
17,1,1,1,6,7,3,2,4,3,6,7,6,5,6,5,7,6,Male,25–30,Bachelor's degree,1–2 hours,1,2,3,3,3,6,6
